Plot Title: 20059287										
#	Date	"Time, GMT-08:00"	"DO conc, mg/L (LGR S/N: 20059287, SEN S/N: 20059287)"	"Temp, °C (LGR S/N: 20059287, SEN S/N: 20059287)"	Expired Sensor Cap (LGR S/N: 20059287)	Coupler Attached (LGR S/N: 20059287)	Coupler Detached (LGR S/N: 20059287)	Host Connected (LGR S/N: 20059287)	Stopped (LGR S/N: 20059287)	End Of File (LGR S/N: 20059287)
1	4/29/2017	3:00:00 AM	16.26	5.64						
2	4/29/2017	9:00:00 AM	15.87	5.8						
3	4/29/2017	3:00:00 PM	16.93	6.72						
4	4/29/2017	9:00:00 PM	15.37	5.76						
5	4/30/2017	3:00:00 AM	17.21	6.54						
6	4/30/2017	9:00:00 AM	15.66	6.24						
7	4/30/2017	3:00:00 PM	13.41	5.62						
8	4/30/2017	9:00:00 PM	12.77	4.86						
9	5/1/2017	3:00:00 AM	15.33	6.44						
10	5/1/2017	9:00:00 AM	14.85	5.58						
11	5/1/2017	3:00:00 PM	14.9	6.12						
12	5/1/2017	9:00:00 PM	16.3	7.3						
13	5/2/2017	3:00:00 AM	15.85	6.58						
14	5/2/2017	9:00:00 AM	15.84	6.64						
15	5/2/2017	3:00:00 PM	17.2	7.6						
16	5/2/2017	9:00:00 PM	14.96	6.36						
17	5/3/2017	3:00:00 AM	17.42	7.24						
18	5/3/2017	9:00:00 AM	12.37	5.3						
19	5/3/2017	3:00:00 PM	13.18	6.84						
20	5/3/2017	9:00:00 PM	16.66	7.68						
21	5/4/2017	3:00:00 AM	14.81	6.66						
22	5/4/2017	9:00:00 AM	17.17	7.7						
23	5/4/2017	3:00:00 PM	14.83	7.64						
24	5/4/2017	9:00:00 PM	17.07	7.64						
25	5/5/2017	3:00:00 AM	15.79	6.86						
26	5/5/2017	9:00:00 AM	16.87	7.06						
27	5/5/2017	3:00:00 PM	17.83	8.44						
28	5/5/2017	9:00:00 PM	17.79	7.56						
29	5/6/2017	3:00:00 AM	17.38	5.94						
30	5/6/2017	9:00:00 AM	17.05	5.84						
31	5/6/2017	3:00:00 PM	17.51	7.14						
32	5/6/2017	9:00:00 PM	18.14	7.42						
33	5/7/2017	3:00:00 AM	17.84	6.5						
34	5/7/2017	9:00:00 AM	16.97	6.3						
35	5/7/2017	3:00:00 PM	16.77	6.92						
36	5/7/2017	9:00:00 PM	16.81	7.28						
37	5/8/2017	3:00:00 AM	15.38	6.14						
38	5/8/2017	9:00:00 AM	16.5	6.18						
39	5/8/2017	3:00:00 PM	17.25	7.78						
40	5/8/2017	9:00:00 PM	15.72	7.74						
41	5/9/2017	3:00:00 AM	14.02	7.54						
42	5/9/2017	9:00:00 AM	12.39	7.48						
43	5/9/2017	3:00:00 PM	11.36	8.08						
44	5/9/2017	9:00:00 PM	12.46	6.42						
45	5/10/2017	3:00:00 AM	12.56	6.62						
46	5/10/2017	9:00:00 AM	12.88	6.92						
47	5/10/2017	3:00:00 PM	13.26	9.16						
48	5/10/2017	9:00:00 PM	14.03	8.9						
49	5/11/2017	3:00:00 AM	13.42	7.94						
50	5/11/2017	9:00:00 AM	13.31	7.92						
51	5/11/2017	3:00:00 PM	13.74	11.16						
52	5/11/2017	9:00:00 PM	14.4	9.3						
53	5/12/2017	3:00:00 AM	13.45	8.98						
54	5/12/2017	9:00:00 AM	13.62	9.16						
