Plot Title: EagleRiverWtrLvl												
#	"Date Time, GMT-08:00"	"Abs Pres, psi (LGR S/N: 9939973, SEN S/N: 9939973)"	"Temp, °F (LGR S/N: 9939973, SEN S/N: 9939973)"	Ave Temp	"Abs Pres Barom., psi (LGR S/N: 9939974, SEN S/N: 9939974)"	"Sensor Depth, feet (LGR S/N: 9939973)"	Ave Depth	Coupler Detached (LGR S/N: 9939973)	Coupler Attached (LGR S/N: 9939973)	Host Connected (LGR S/N: 9939973)	Stopped (LGR S/N: 9939973)	End Of File (LGR S/N: 9939973)
1	7/22/2014 12:00	14.6282	76.2		14.5934	0.08		Logged				
2	7/22/2014 12:15	14.6023	76.4		14.5676	0.08						
3	7/22/2014 12:30	14.547	75.7		14.5094	0.09						
4	7/22/2014 12:45	14.6845	74.8		14.6478	0.09						
5	7/22/2014 13:00	14.683	72.9		14.6465	0.09						
6	7/22/2014 13:15	14.6798	72.0		14.6437	0.08						
7	7/22/2014 13:30	14.6793	71.3		14.6445	0.08						
8	7/22/2014 13:45	15.485	47.3		14.6404	1.95						
9	7/22/2014 14:00	15.4689	46.2		14.6375	1.92						
10	7/22/2014 14:15	15.4792	46.2		14.6342	1.95						
11	7/22/2014 14:30	15.4662	46.4		14.633	1.92						
12	7/22/2014 14:45	15.4559	46.5		14.6313	1.90						
13	7/22/2014 15:00	15.4665	46.9		14.6307	1.93						
14	7/22/2014 15:15	15.4432	47.1		14.6269	1.88						
15	7/22/2014 15:30	15.4485	47.4		14.6266	1.90						
16	7/22/2014 15:45	15.4487	47.6		14.6252	1.90						
17	7/22/2014 16:00	15.441	47.8		14.624	1.89						
18	7/22/2014 16:15	15.4229	48.0		14.6237	1.84						
19	7/22/2014 16:30	15.4255	48.0		14.6202	1.86						
20	7/22/2014 16:45	15.4204	48.3		14.6236	1.84						
21	7/22/2014 17:00	15.4179	48.5		14.6221	1.84						
22	7/22/2014 17:15	15.4103	48.7		14.6199	1.82						
23	7/22/2014 17:30	15.4156	49.1		14.6194	1.84						
24	7/22/2014 17:45	15.3923	49.2		14.6204	1.78						
25	7/22/2014 18:00	15.4184	49.4		14.6231	1.84						
26	7/22/2014 18:15	15.4135	49.8		14.6237	1.82						
27	7/22/2014 18:30	15.4108	49.8		14.6214	1.82						
28	7/22/2014 18:45	15.4004	49.8		14.6181	1.81						
29	7/22/2014 19:00	15.4108	49.9		14.6175	1.83						
30	7/22/2014 19:15	15.4056	49.9		14.6144	1.83						
31	7/22/2014 19:30	15.4058	50.1		14.6134	1.83						
32	7/22/2014 19:45	15.4111	50.3		14.6153	1.84						
33	7/22/2014 20:00	15.4242	50.5		14.6165	1.86						
34	7/22/2014 20:15	15.4137	50.5		14.6162	1.84						
35	7/22/2014 20:30	15.4191	50.6		14.6153	1.86						
36	7/22/2014 20:45	15.4139	50.6		14.6156	1.84						
37	7/22/2014 21:00	15.4269	50.8		14.6155	1.87						
38	7/22/2014 21:15	15.4271	51.0		14.6137	1.88						
39	7/22/2014 21:30	15.4297	51.0		14.614	1.88						
40	7/22/2014 21:45	15.4272	51.2		14.6144	1.88						
41	7/22/2014 22:00	15.4429	51.3		14.6169	1.91						
42	7/22/2014 22:15	15.4404	51.5		14.6172	1.90						
43	7/22/2014 22:30	15.4507	51.5		14.6162	1.93						
