Plot Title: 2017EagleRiverBaro,,,,,,,,,
#,Date,"Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 9939974, SEN S/N: 9939974)","Temp, °C (LGR S/N: 9939974, SEN S/N: 9939974)",Coupler Detached (LGR S/N: 9939974),Coupler Attached (LGR S/N: 9939974),Host Connected (LGR S/N: 9939974),Stopped (LGR S/N: 9939974),End Of File (LGR S/N: 9939974)
1,6/5/2017,3:00:00 PM,100.73,18.045,Logged,,,,
2,6/5/2017,4:00:00 PM,100.692,15.473,,,,,
3,6/5/2017,5:00:00 PM,100.668,15.664,,,,,
4,6/5/2017,6:00:00 PM,100.638,15.569,,,,,
5,6/5/2017,7:00:00 PM,100.595,15.569,,,,,
6,6/5/2017,8:00:00 PM,100.568,14.9,,,,,
7,6/5/2017,9:00:00 PM,100.558,15.091,,,,,
8,6/5/2017,10:00:00 PM,100.554,13.461,,,,,
9,6/5/2017,11:00:00 PM,100.61,13.461,,,,,
10,6/6/2017,12:00:00 AM,100.623,9.768,,,,,
11,6/6/2017,1:00:00 AM,100.604,7.983,,,,,
12,6/6/2017,2:00:00 AM,100.636,6.674,,,,,
13,6/6/2017,3:00:00 AM,100.71,5.347,,,,,
14,6/6/2017,4:00:00 AM,100.714,3.998,,,,,
15,6/6/2017,5:00:00 AM,100.725,3.788,,,,,
16,6/6/2017,6:00:00 AM,100.767,3.788,,,,,
17,6/6/2017,7:00:00 AM,100.692,6.674,,,,,
18,6/6/2017,8:00:00 AM,100.781,9.275,,,,,
19,6/6/2017,9:00:00 AM,100.754,10.063,,,,,
20,6/6/2017,10:00:00 AM,100.771,10.944,,,,,
21,6/6/2017,11:00:00 AM,100.813,12.401,,,,,
22,6/6/2017,12:00:00 PM,100.789,12.594,,,,,
23,6/6/2017,1:00:00 PM,100.799,13.846,,,,,
24,6/6/2017,2:00:00 PM,100.775,16.808,,,,,
25,6/6/2017,3:00:00 PM,100.719,16.141,,,,,
26,6/6/2017,4:00:00 PM,100.639,16.999,,,,,
27,6/6/2017,5:00:00 PM,100.534,18.711,,,,,
28,6/6/2017,6:00:00 PM,100.426,18.901,,,,,
29,6/6/2017,7:00:00 PM,100.283,18.14,,,,,
30,6/6/2017,8:00:00 PM,100.191,17.76,,,,,
31,6/6/2017,9:00:00 PM,100.116,16.141,,,,,
32,6/6/2017,10:00:00 PM,100.049,13.461,,,,,
33,6/6/2017,11:00:00 PM,100.08,11.431,,,,,
34,6/7/2017,12:00:00 AM,100.064,9.077,,,,,
35,6/7/2017,1:00:00 AM,100.131,8.182,,,,,
36,6/7/2017,2:00:00 AM,100.153,8.581,,,,,
37,6/7/2017,3:00:00 AM,100.212,8.779,,,,,
38,6/7/2017,4:00:00 AM,100.307,8.581,,,,,
39,6/7/2017,5:00:00 AM,100.422,8.779,,,,,
40,6/7/2017,6:00:00 AM,100.453,8.182,,,,,
41,6/7/2017,7:00:00 AM,100.498,9.077,,,,,
42,6/7/2017,8:00:00 AM,100.514,11.431,,,,,
43,6/7/2017,9:00:00 AM,100.584,14.996,,,,,
44,6/7/2017,10:00:00 AM,100.598,14.996,,,,,
45,6/7/2017,11:00:00 AM,100.643,16.523,,,,,
46,6/7/2017,12:00:00 PM,100.599,17.094,,,,,
47,6/7/2017,1:00:00 PM,100.58,19.567,,,,,
48,6/7/2017,2:00:00 PM,100.562,17.379,,,,,
49,6/7/2017,3:00:00 PM,100.524,17.57,,,,,
50,6/7/2017,4:00:00 PM,100.544,19.187,,,,,
51,6/7/2017,5:00:00 PM,100.526,19.662,,,,,
52,6/7/2017,6:00:00 PM,100.494,18.14,,,,,
53,6/7/2017,7:00:00 PM,100.502,15.091,,,,,
54,6/7/2017,8:00:00 PM,100.47,14.9,,,,,
55,6/7/2017,9:00:00 PM,100.425,13.365,,,,,
56,6/7/2017,10:00:00 PM,100.425,11.916,,,,,
57,6/7/2017,11:00:00 PM,100.433,10.846,,,,,
58,6/8/2017,12:00:00 AM,100.448,10.161,,,,,
59,6/8/2017,1:00:00 AM,100.409,9.571,,,,,
60,6/8/2017,2:00:00 AM,100.389,9.275,,,,,
61,6/8/2017,3:00:00 AM,100.388,9.176,,,,,
62,6/8/2017,4:00:00 AM,100.368,8.879,,,,,
63,6/8/2017,5:00:00 AM,100.322,8.68,,,,,
64,6/8/2017,6:00:00 AM,100.328,8.978,,,,,
65,6/8/2017,7:00:00 AM,100.301,9.768,,,,,
66,6/8/2017,8:00:00 AM,100.312,10.357,,,,,
67,6/8/2017,9:00:00 AM,100.305,12.207,,,,,
68,6/8/2017,10:00:00 AM,100.263,15.76,,,,,
69,6/8/2017,11:00:00 AM,100.246,17.665,,,,,
70,6/8/2017,12:00:00 PM,100.218,17.665,,,,,
71,6/8/2017,1:00:00 PM,100.221,18.521,,,,,
72,6/8/2017,2:00:00 PM,100.197,18.711,,,,,
73,6/8/2017,3:00:00 PM,100.187,19.567,,,,,
74,6/8/2017,4:00:00 PM,100.168,21.951,,,,,
75,6/8/2017,5:00:00 PM,100.147,20.329,,,,,
76,6/8/2017,6:00:00 PM,100.131,18.901,,,,,
77,6/8/2017,7:00:00 PM,100.135,17.76,,,,,
78,6/8/2017,8:00:00 PM,100.147,15.569,,,,,
79,6/8/2017,9:00:00 PM,100.146,14.804,,,,,
80,6/8/2017,10:00:00 PM,100.183,13.846,,,,,
81,6/8/2017,11:00:00 PM,100.172,12.594,,,,,
82,6/9/2017,12:00:00 AM,100.19,11.334,,,,,
83,6/9/2017,1:00:00 AM,100.177,10.651,,,,,
84,6/9/2017,2:00:00 AM,100.18,10.063,,,,,
