Plot Title: 2017EagleRiverWater									
#	Date	"Time, GMT-08:00"	"Abs Pres, kPa (LGR S/N: 9939973, SEN S/N: 9939973)"	"Temp, °C (LGR S/N: 9939973, SEN S/N: 9939973)"	Coupler Detached (LGR S/N: 9939973)	Coupler Attached (LGR S/N: 9939973)	Host Connected (LGR S/N: 9939973)	Stopped (LGR S/N: 9939973)	End Of File (LGR S/N: 9939973)
1	6/5/2017	3:00:00 PM	101.027	17.189	Logged				
2	6/5/2017	4:00:00 PM	103.12	7.882					
3	6/5/2017	5:00:00 PM	103.049	7.983					
4	6/5/2017	6:00:00 PM	102.924	8.082					
5	6/5/2017	7:00:00 PM	102.944	8.481					
6	6/5/2017	8:00:00 PM	102.875	8.879					
7	6/5/2017	9:00:00 PM	102.875	8.978					
8	6/5/2017	10:00:00 PM	102.912	9.176					
9	6/5/2017	11:00:00 PM	102.824	9.373					
10	6/6/2017	12:00:00 AM	102.878	9.472					
11	6/6/2017	1:00:00 AM	102.879	9.571					
12	6/6/2017	2:00:00 AM	102.95	9.571					
13	6/6/2017	3:00:00 AM	102.986	9.472					
14	6/6/2017	4:00:00 AM	103.021	9.373					
15	6/6/2017	5:00:00 AM	103.092	9.275					
16	6/6/2017	6:00:00 AM	103.181	9.176					
17	6/6/2017	7:00:00 AM	103.163	9.176					
18	6/6/2017	8:00:00 AM	103.198	8.978					
19	6/6/2017	9:00:00 AM	103.215	8.779					
20	6/6/2017	10:00:00 AM	103.249	8.382					
21	6/6/2017	11:00:00 AM	103.283	8.082					
22	6/6/2017	12:00:00 PM	103.264	7.882					
23	6/6/2017	1:00:00 PM	103.264	7.882					
24	6/6/2017	2:00:00 PM	103.158	8.182					
25	6/6/2017	3:00:00 PM	103.105	8.382					
26	6/6/2017	4:00:00 PM	103.017	8.581					
27	6/6/2017	5:00:00 PM	102.875	8.879					
28	6/6/2017	6:00:00 PM	102.804	9.077					
29	6/6/2017	7:00:00 PM	102.591	9.373					
30	6/6/2017	8:00:00 PM	102.537	9.373					
31	6/6/2017	9:00:00 PM	102.447	9.373					
32	6/6/2017	10:00:00 PM	102.429	9.373					
33	6/6/2017	11:00:00 PM	102.519	9.472					
34	6/7/2017	12:00:00 AM	102.502	9.571					
35	6/7/2017	1:00:00 AM	102.556	9.669					
36	6/7/2017	2:00:00 AM	102.718	9.768					
37	6/7/2017	3:00:00 AM	102.808	9.768					
38	6/7/2017	4:00:00 AM	102.915	9.669					
39	6/7/2017	5:00:00 AM	103.076	9.571					
40	6/7/2017	6:00:00 AM	103.182	9.275					
41	6/7/2017	7:00:00 AM	103.306	9.077					
42	6/7/2017	8:00:00 AM	103.233	8.879					
43	6/7/2017	9:00:00 AM	103.358	8.779					
44	6/7/2017	10:00:00 AM	103.429	8.581					
45	6/7/2017	11:00:00 AM	103.412	8.68					
46	6/7/2017	12:00:00 PM	103.358	8.68					
47	6/7/2017	1:00:00 PM	103.396	9.077					
48	6/7/2017	2:00:00 PM	103.432	9.077					
49	6/7/2017	3:00:00 PM	103.395	8.879					
50	6/7/2017	4:00:00 PM	103.378	8.978					
51	6/7/2017	5:00:00 PM	103.397	9.176					
52	6/7/2017	6:00:00 PM	103.361	9.275					
53	6/7/2017	7:00:00 PM	103.415	9.275					
54	6/7/2017	8:00:00 PM	103.416	9.373					
55	6/7/2017	9:00:00 PM	103.362	9.373					
56	6/7/2017	10:00:00 PM	103.416	9.472					
57	6/7/2017	11:00:00 PM	103.398	9.472					
58	6/8/2017	12:00:00 AM	103.434	9.373					
59	6/8/2017	1:00:00 AM	103.469	9.275					
60	6/8/2017	2:00:00 AM	103.54	9.176					
61	6/8/2017	3:00:00 AM	103.557	9.077					
62	6/8/2017	4:00:00 AM	103.539	8.978					
63	6/8/2017	5:00:00 AM	103.681	8.779					
64	6/8/2017	6:00:00 AM	103.716	8.581					
65	6/8/2017	7:00:00 AM	103.679	8.382					
66	6/8/2017	8:00:00 AM	103.731	8.082					
67	6/8/2017	9:00:00 AM	103.712	7.882					
68	6/8/2017	10:00:00 AM	103.73	7.882					
69	6/8/2017	11:00:00 AM	103.641	7.983					
70	6/8/2017	12:00:00 PM	103.713	8.082					
71	6/8/2017	1:00:00 PM	103.804	8.282					
72	6/8/2017	2:00:00 PM	103.715	8.481					
73	6/8/2017	3:00:00 PM	103.68	8.581					
74	6/8/2017	4:00:00 PM	103.664	8.879					
75	6/8/2017	5:00:00 PM	103.682	8.978					
76	6/8/2017	6:00:00 PM	103.611	8.978					
77	6/8/2017	7:00:00 PM	103.575	8.978					
78	6/8/2017	8:00:00 PM	103.538	8.879					
79	6/8/2017	9:00:00 PM	103.647	8.978					
80	6/8/2017	10:00:00 PM	103.791	9.077					
81	6/8/2017	11:00:00 PM	103.737	9.077					
82	6/9/2017	12:00:00 AM	103.772	8.879					
83	6/9/2017	1:00:00 AM	103.807	8.779					
84	6/9/2017	2:00:00 AM	103.932	8.68					
85	6/9/2017	3:00:00 AM	103.931	8.481					
86	6/9/2017	4:00:00 AM	103.965	8.282					
87	6/9/2017	5:00:00 AM	104.054	8.082					
88	6/9/2017	6:00:00 AM	104.089	7.882					
89	6/9/2017	7:00:00 AM	104.123	7.582					
90	6/9/2017	8:00:00 AM	104.14	7.381					
91	6/9/2017	9:00:00 AM	104.21	7.179					
92	6/9/2017	10:00:00 AM	104.3	7.179					
93	6/9/2017	11:00:00 AM	104.228	7.079					
94	6/9/2017	12:00:00 PM	104.246	7.179					
95	6/9/2017	1:00:00 PM	104.284	7.481					
96	6/9/2017	2:00:00 PM	104.429	7.782					
97	6/9/2017	3:00:00 PM	104.467	8.182					
98	6/9/2017	4:00:00 PM	104.469	8.581					
99	6/9/2017	5:00:00 PM	104.418	8.978					
100	6/9/2017	6:00:00 PM	104.402	9.275					
101	6/9/2017	7:00:00 PM	104.584	9.669					
102	6/9/2017	8:00:00 PM	104.55	9.965					
103	6/9/2017	9:00:00 PM	104.533	10.161					
104	6/9/2017	10:00:00 PM	104.552	10.357					
105	6/9/2017	11:00:00 PM	104.624	10.455					
106	6/10/2017	12:00:00 AM	104.931	10.748					
107	6/10/2017	1:00:00 AM	104.932	10.846					
108	6/10/2017	2:00:00 AM	105.202	10.944					
109	6/10/2017	3:00:00 AM	105.399	10.944					
110	6/10/2017	4:00:00 AM	105.451	10.651					
111	6/10/2017	5:00:00 AM	105.592	10.259					
112	6/10/2017	6:00:00 AM	105.679	9.768					
113	6/10/2017	7:00:00 AM	105.801	9.275					
114	6/10/2017	8:00:00 AM	105.887	8.68					
115	6/10/2017	9:00:00 AM	105.903	8.282					
116	6/10/2017	10:00:00 AM	105.9	7.882					
117	6/10/2017	11:00:00 AM	105.934	7.582					
118	6/10/2017	12:00:00 PM	105.933	7.381					
119	6/10/2017	1:00:00 PM	105.915	7.28					
120	6/10/2017	2:00:00 PM	106.076	7.28					
121	6/10/2017	3:00:00 PM	105.914	7.179					
122	6/10/2017	4:00:00 PM	106.058	7.179					
123	6/10/2017	5:00:00 PM	105.896	7.179					
124	6/10/2017	6:00:00 PM	105.896	7.179					
125	6/10/2017	7:00:00 PM	105.824	7.179					
126	6/10/2017	8:00:00 PM	105.897	7.28					
127	6/10/2017	9:00:00 PM	105.897	7.28					
128	6/10/2017	10:00:00 PM	105.735	7.179					
129	6/10/2017	11:00:00 PM	105.842	7.179					
130	6/11/2017	12:00:00 AM	105.716	7.079					
