"Plot Title: 20331189"
"#","Date Time, GMT-08:00","Max: Temperature, °F (LGR S/N: 20331189)","Min: Temperature, °F (LGR S/N: 20331189)","Avg: Temperature, °F (LGR S/N: 20331189)","Avg: Pressure, psi (LGR S/N: 20331189)","Coupler Detached (LGR S/N: 20331189)","Coupler Attached (LGR S/N: 20331189)","Host Connected (LGR S/N: 20331189)","Stopped (LGR S/N: 20331189)","End Of File (LGR S/N: 20331189)"
1,06/06/18 09:00:00 AM,60.712,60.712,60.712,14.3786,Logged,,,,
2,06/06/18 10:00:00 AM,58.303,58.303,58.303,14.3803,,,,,
3,06/06/18 11:00:00 AM,52.225,52.225,52.225,14.5174,,,,,
4,06/06/18 12:00:00 PM,56.404,56.404,56.404,14.5147,,,,,
5,06/06/18 01:00:00 PM,54.842,54.842,54.842,14.5110,,,,,
6,06/06/18 02:00:00 PM,57.785,57.785,57.785,14.5081,,,,,
7,06/06/18 03:00:00 PM,56.750,56.750,56.750,14.5006,,,,,
8,06/06/18 04:00:00 PM,60.883,60.883,60.883,14.4981,,,,,
9,06/06/18 05:00:00 PM,61.741,61.741,61.741,14.4901,,,,,
10,06/06/18 06:00:00 PM,62.083,62.083,62.083,14.4861,,,,,
11,06/06/18 07:00:00 PM,61.912,61.912,61.912,14.4856,,,,,
12,06/06/18 08:00:00 PM,61.912,61.912,61.912,14.4807,,,,,
13,06/06/18 09:00:00 PM,60.195,60.195,60.195,14.4816,,,,,
14,06/06/18 10:00:00 PM,56.577,56.577,56.577,14.4829,,,,,
15,06/06/18 11:00:00 PM,49.404,49.404,49.404,14.4861,,,,,
16,06/07/18 12:00:00 AM,45.828,45.828,45.828,14.4954,,,,,
17,06/07/18 01:00:00 AM,43.466,43.466,43.466,14.4975,,,,,
18,06/07/18 02:00:00 AM,41.254,41.254,41.254,14.5051,,,,,
19,06/07/18 03:00:00 AM,40.509,40.509,40.509,14.5083,,,,,
20,06/07/18 04:00:00 AM,39.007,39.007,39.007,14.5100,,,,,
21,06/07/18 05:00:00 AM,37.297,37.297,37.297,14.5162,,,,,
22,06/07/18 06:00:00 AM,37.297,37.297,37.297,14.5113,,,,,
23,06/07/18 07:00:00 AM,41.625,41.625,41.625,14.5207,,,,,
24,06/07/18 08:00:00 AM,47.266,47.266,47.266,14.5209,,,,,
25,06/07/18 09:00:00 AM,72.372,72.372,72.372,14.5213,,,,,
26,06/07/18 10:00:00 AM,84.834,84.834,84.834,14.5213,,,,,
27,06/07/18 11:00:00 AM,80.029,80.029,80.029,14.5210,,,,,
28,06/07/18 12:00:00 PM,74.271,74.271,74.271,14.5212,,,,,
29,06/07/18 01:00:00 PM,66.708,66.708,66.708,14.5197,,,,,
30,06/07/18 02:00:00 PM,63.797,63.797,63.797,14.5200,,,,,
31,06/07/18 03:00:00 PM,62.769,62.769,62.769,14.5225,,,,,
32,06/07/18 04:00:00 PM,64.652,64.652,64.652,14.5245,,,,,
33,06/07/18 05:00:00 PM,66.708,66.708,66.708,14.5296,,,,,
34,06/07/18 06:00:00 PM,71.683,71.683,71.683,14.5345,,,,,
35,06/07/18 07:00:00 PM,70.308,70.308,70.308,14.5386,,,,,
36,06/07/18 08:00:00 PM,67.050,67.050,67.050,14.5429,,,,,
37,06/07/18 09:00:00 PM,61.054,61.054,61.054,14.5531,,,,,
38,06/07/18 10:00:00 PM,66.879,66.879,66.879,14.5624,,,,,
39,06/07/18 11:00:00 PM,53.623,53.623,53.623,14.5653,,,,,
40,06/08/18 12:00:00 AM,47.088,47.088,47.088,14.5750,,,,,
41,06/08/18 01:00:00 AM,45.286,45.286,45.286,14.5783,,,,,
42,06/08/18 02:00:00 AM,43.282,43.282,43.282,14.5837,,,,,
43,06/08/18 03:00:00 AM,41.254,41.254,41.254,14.5867,,,,,
44,06/08/18 04:00:00 AM,40.509,40.509,40.509,14.5875,,,,,
45,06/08/18 05:00:00 AM,41.254,41.254,41.254,14.5917,,,,,
46,06/08/18 06:00:00 AM,42.915,42.915,42.915,14.5928,,,,,
47,06/08/18 07:00:00 AM,46.369,46.369,46.369,14.5956,,,,,
48,06/08/18 08:00:00 AM,55.537,55.537,55.537,14.5995,,,,,
49,06/08/18 09:00:00 AM,70.308,70.308,70.308,14.6031,,,,,
50,06/08/18 10:00:00 AM,80.029,80.029,80.029,14.6033,,,,,
