"Plot Title: 20297239"
"#","Date Time, GMT-08:00","Avg: Temperature, °F (LGR S/N: 20297239)","Avg: Pressure, psi (LGR S/N: 20297239)","Max: Temperature, °F (LGR S/N: 20297239)","Min: Temperature, °F (LGR S/N: 20297239)","Coupler Detached (LGR S/N: 20297239)","Coupler Attached (LGR S/N: 20297239)","Host Connected (LGR S/N: 20297239)","Stopped (LGR S/N: 20297239)","End Of File (LGR S/N: 20297239)"
1,06/06/18 09:00:00 AM,61.054,14.3718,61.054,61.054,Logged,,,,
2,06/06/18 10:00:00 AM,58.647,14.3729,58.647,58.647,,,,,
3,06/06/18 11:00:00 AM,45.648,14.7876,45.648,45.648,,,,,
4,06/06/18 12:00:00 PM,45.648,14.7827,45.648,45.648,,,,,
5,06/06/18 01:00:00 PM,45.466,14.7747,45.466,45.466,,,,,
6,06/06/18 02:00:00 PM,45.648,14.7702,45.648,45.648,,,,,
7,06/06/18 03:00:00 PM,45.828,14.7608,45.828,45.828,,,,,
8,06/06/18 04:00:00 PM,46.188,14.7592,46.188,46.188,,,,,
9,06/06/18 05:00:00 PM,46.728,14.7505,46.728,46.728,,,,,
10,06/06/18 06:00:00 PM,47.088,14.7464,47.088,47.088,,,,,
11,06/06/18 07:00:00 PM,47.446,14.7374,47.446,47.446,,,,,
12,06/06/18 08:00:00 PM,47.982,14.7363,47.982,47.982,,,,,
13,06/06/18 09:00:00 PM,48.160,14.7318,48.160,48.160,,,,,
14,06/06/18 10:00:00 PM,47.982,14.7289,47.982,47.982,,,,,
15,06/06/18 11:00:00 PM,47.624,14.7428,47.624,47.624,,,,,
16,06/07/18 12:00:00 AM,47.446,14.7399,47.446,47.446,,,,,
17,06/07/18 01:00:00 AM,47.266,14.7395,47.266,47.266,,,,,
18,06/07/18 02:00:00 AM,47.266,14.7544,47.266,47.266,,,,,
19,06/07/18 03:00:00 AM,47.446,14.7499,47.446,47.446,,,,,
20,06/07/18 04:00:00 AM,47.266,14.7593,47.266,47.266,,,,,
21,06/07/18 05:00:00 AM,46.728,14.7928,46.728,46.728,,,,,
22,06/07/18 06:00:00 AM,46.548,14.7924,46.548,46.548,,,,,
23,06/07/18 07:00:00 AM,46.728,14.8078,46.728,46.728,,,,,
24,06/07/18 08:00:00 AM,46.908,14.8133,46.908,46.908,,,,,
25,06/07/18 09:00:00 AM,47.088,14.8187,47.088,47.088,,,,,
26,06/07/18 10:00:00 AM,47.088,14.8211,47.088,47.088,,,,,
27,06/07/18 11:00:00 AM,47.088,14.8137,47.088,47.088,,,,,
28,06/07/18 12:00:00 PM,47.446,14.8195,47.446,47.446,,,,,
29,06/07/18 01:00:00 PM,47.802,14.8279,47.802,47.802,,,,,
30,06/07/18 02:00:00 PM,47.982,14.8210,47.982,47.982,,,,,
31,06/07/18 03:00:00 PM,48.695,14.8153,48.695,48.695,,,,,
32,06/07/18 04:00:00 PM,49.228,14.8217,49.228,49.228,,,,,
33,06/07/18 05:00:00 PM,49.937,14.8110,49.937,49.937,,,,,
34,06/07/18 06:00:00 PM,50.466,14.8073,50.466,50.466,,,,,
