Plot Title: 20297239								
#	"Date Time, GMT-08:00"	"Temp, °F (LGR S/N: 20297239, SEN S/N: 20297239)"	"Sensor Depth, feet (LGR S/N: 20297239)"				date	Daily Average
1	6/6/2018 9:00	61.054	-0.016					
2	6/6/2018 10:00	58.647	-0.017					
3	6/6/2018 11:00	45.648	0.623				6-Jun	0.5973846
4	6/6/2018 12:00	45.648	0.618				7-Jun	0.6434583
5	6/6/2018 13:00	45.466	0.608				8-Jun	0.68325
6	6/6/2018 14:00	45.648	0.605				9-Jun	0.76125
7	6/6/2018 15:00	45.828	0.6				10-Jun	0.918541667
8	6/6/2018 16:00	46.188	0.602				11-Jun	1.298708333
9	6/6/2018 17:00	46.728	0.601				12-Jun	1.44675
10	6/6/2018 18:00	47.088	0.601				13-Jun	1.154291667
11	6/6/2018 19:00	47.446	0.581				14-Jun	1.031208333
12	6/6/2018 20:00	47.982	0.59				15-Jun	1.182541667
13	6/6/2018 21:00	48.16	0.577				16-Jun	1.573583333
14	6/6/2018 22:00	47.982	0.568				17-Jun	1.589208333
15	6/6/2018 23:00	47.624	0.592				18-Jun	1.832
16	6/7/2018 0:00	47.446	0.564				19-Jun	2.441958333
17	6/7/2018 1:00	47.266	0.558				20-Jun	1.960875
18	6/7/2018 2:00	47.266	0.575				21-Jun	1.840458333
19	6/7/2018 3:00	47.446	0.558				22-Jun	1.859708333
20	6/7/2018 4:00	47.266	0.575				23-Jun	1.657583333
21	6/7/2018 5:00	46.728	0.638				24-Jun	1.419291667
22	6/7/2018 6:00	46.548	0.649				25-Jun	1.312083333
23	6/7/2018 7:00	46.728	0.662				26-Jun	1.254208333
24	6/7/2018 8:00	46.908	0.675				27-Jun	1.207666667
25	6/7/2018 9:00	47.088	0.686				28-Jun	1.173083333
26	6/7/2018 10:00	47.088	0.692				29-Jun	1.186041667
27	6/7/2018 11:00	47.088	0.675				30-Jun	1.173666667
28	6/7/2018 12:00	47.446	0.688				1-Jul	1.130125
29	6/7/2018 13:00	47.802	0.711				2-Jul	1.317833333
30	6/7/2018 14:00	47.982	0.694				3-Jul	1.54975
31	6/7/2018 15:00	48.695	0.676				4-Jul	1.720333333
32	6/7/2018 16:00	49.228	0.686				5-Jul	1.798541667
33	6/7/2018 17:00	49.937	0.649				6-Jul	1.827125
34	6/7/2018 18:00	50.466	0.63				7-Jul	1.878125
35	6/7/2018 19:00	50.819	0.657				8-Jul	1.950083333
36	6/7/2018 20:00	50.995	0.636				9-Jul	2.15375
37	6/7/2018 21:00	50.643	0.628				10-Jul	1.976416667
38	6/7/2018 22:00	50.29	0.628				11-Jul	1.6315
39	6/7/2018 23:00	49.937	0.653				12-Jul	1.413916667
40	6/8/2018 0:00	49.404	0.634				13-Jul	1.293208333
41	6/8/2018 1:00	49.582	0.65				14-Jul	1.160541667
42	6/8/2018 2:00	49.582	0.643				15-Jul	1.091291667
43	6/8/2018 3:00	49.228	0.663				16-Jul	1.088625
44	6/8/2018 4:00	48.695	0.669				17-Jul	1.100791667
45	6/8/2018 5:00	48.339	0.692				18-Jul	1.112958333
46	6/8/2018 6:00	47.982	0.693				19-Jul	1.156083333
47	6/8/2018 7:00	47.446	0.695				20-Jul	1.231208333
48	6/8/2018 8:00	47.266	0.685				21-Jul	1.330291667
49	6/8/2018 9:00	47.266	0.688				22-Jul	1.428916667
50	6/8/2018 10:00	47.446	0.711				23-Jul	1.502166667
51	6/8/2018 11:00	47.446	0.707				24-Jul	1.449916667
52	6/8/2018 12:00	47.982	0.731				25-Jul	1.414333333
53	6/8/2018 13:00	48.517	0.718				26-Jul	1.619291667
54	6/8/2018 14:00	49.228	0.713				27-Jul	1.797958333
55	6/8/2018 15:00	49.05	0.696				28-Jul	1.624125
56	6/8/2018 16:00	49.759	0.731				29-Jul	1.6285
57	6/8/2018 17:00	50.29	0.681				30-Jul	1.702541667
58	6/8/2018 18:00	50.819	0.67				31-Jul	1.631916667
59	6/8/2018 19:00	50.819	0.686				1-Aug	1.711958333
60	6/8/2018 20:00	50.29	0.665				2-Aug	1.641208333
61	6/8/2018 21:00	50.466	0.657				3-Aug	1.661708333
62	6/8/2018 22:00	50.643	0.657				4-Aug	1.512458333
63	6/8/2018 23:00	50.466	0.663				5-Aug	1.5775
64	6/9/2018 0:00	50.113	0.652				6-Aug	1.941208333
65	6/9/2018 1:00	49.937	0.665				7-Aug	1.992958333
66	6/9/2018 2:00	49.759	0.646				8-Aug	1.852583333
67	6/9/2018 3:00	49.404	0.695				9-Aug	1.445041667
68	6/9/2018 4:00	49.05	0.697				10-Aug	1.198958333
69	6/9/2018 5:00	48.517	0.731				11-Aug	1.353416667
70	6/9/2018 6:00	47.982	0.749				12-Aug	1.663125
71	6/9/2018 7:00	47.624	0.745				13-Aug	1.889916667
72	6/9/2018 8:00	47.446	0.766				14-Aug	1.813083333
73	6/9/2018 9:00	47.088	0.794				15-Aug	1.490208333
74	6/9/2018 10:00	47.088	0.786				16-Aug	1.329666667
75	6/9/2018 11:00	47.446	0.801				17-Aug	1.153625
76	6/9/2018 12:00	47.802	0.831				18-Aug	1.007833333
77	6/9/2018 13:00	48.517	0.796				19-Aug	1.107625
78	6/9/2018 14:00	49.05	0.799				20-Aug	1.540875
79	6/9/2018 15:00	49.759	0.8				21-Aug	2.048
80	6/9/2018 16:00	50.643	0.791				22-Aug	2.104625
81	6/9/2018 17:00	51.172	0.794				23-Aug	1.759291667
82	6/9/2018 18:00	51.699	0.786				24-Aug	1.68275
83	6/9/2018 19:00	51.874	0.78				25-Aug	1.3605
84	6/9/2018 20:00	51.874	0.777				26-Aug	1.311
85	6/9/2018 21:00	51.874	0.801				27-Aug	1.840083333
86	6/9/2018 22:00	51.699	0.788				28-Aug	1.544416667
87	6/9/2018 23:00	51.699	0.8				29-Aug	1.311166667
88	6/10/2018 0:00	51.874	0.805				30-Aug	1.335041667
89	6/10/2018 1:00	51.699	0.824				31-Aug	1.173708333
90	6/10/2018 2:00	51.523	0.844				1-Sep	0.924333333
91	6/10/2018 3:00	51.172	0.871				2-Sep	0.870083333
92	6/10/2018 4:00	50.643	0.891				3-Sep	0.794833333
93	6/10/2018 5:00	49.937	0.912				4-Sep	0.779166667
94	6/10/2018 6:00	49.404	0.915				5-Sep	0.730208333
95	6/10/2018 7:00	48.517	0.94				6-Sep	0.686125
96	6/10/2018 8:00	47.982	0.933				7-Sep	0.676083333
97	6/10/2018 9:00	47.446	0.953				8-Sep	0.612333333
98	6/10/2018 10:00	47.266	0.971				9-Sep	0.551166667
99	6/10/2018 11:00	47.088	0.966				10-Sep	0.503083333
100	6/10/2018 12:00	46.908	0.963				11-Sep	0.507375
101	6/10/2018 13:00	47.446	0.955				12-Sep	0.5645
102	6/10/2018 14:00	47.802	0.957				13-Sep	0.632
103	6/10/2018 15:00	48.517	0.945				14-Sep	0.625791667
104	6/10/2018 16:00	49.228	0.929				15-Sep	0.618833333
105	6/10/2018 17:00	49.759	0.946				16-Sep	0.597791667
106	6/10/2018 18:00	49.759	0.957				17-Sep	0.497916667
107	6/10/2018 19:00	49.582	0.918				18-Sep	0.483208333
108	6/10/2018 20:00	49.759	0.915				19-Sep	0.455791667
109	6/10/2018 21:00	49.937	0.935				20-Sep	0.428916667
110	6/10/2018 22:00	50.113	0.9				21-Sep	0.384166667
111	6/10/2018 23:00	50.29	0.9				22-Sep	0.549
112	6/11/2018 0:00	50.466	0.904				23-Sep	0.531333333
113	6/11/2018 1:00	50.466	0.926				24-Sep	0.404166667
114	6/11/2018 2:00	50.29	0.965				25-Sep	0.644875
115	6/11/2018 3:00	49.937	0.987				26-Sep	0.331291667
116	6/11/2018 4:00	49.582	1.019				27-Sep	0.168958333
117	6/11/2018 5:00	49.228	1.072				28-Sep	0.243458333
118	6/11/2018 6:00	48.695	1.087				29-Sep	0.523083333
119	6/11/2018 7:00	47.802	1.123				30-Sep	0.545916667
120	6/11/2018 8:00	47.088	1.142				1-Oct	0.38675
121	6/11/2018 9:00	46.728	1.185				2-Oct	0.2655
122	6/11/2018 10:00	46.548	1.194				3-Oct	0.208458333
123	6/11/2018 11:00	46.548	1.261				4-Oct	0.169
124	6/11/2018 12:00	46.369	1.321				5-Oct	0.193041667
125	6/11/2018 13:00	46.369	1.38				6-Oct	0.1295
126	6/11/2018 14:00	46.548	1.424				7-Oct	0.049333333
127	6/11/2018 15:00	47.266	1.519				8-Oct	0.020166667
128	6/11/2018 16:00	47.266	1.511				9-Oct	-0.002041667
129	6/11/2018 17:00	46.728	1.568				10-Oct	-0.022875
130	6/11/2018 18:00	46.008	1.582				11-Oct	0.110583333
131	6/11/2018 19:00	46.188	1.638				12-Oct	0.042208333
132	6/11/2018 20:00	46.369	1.587				13-Oct	0.226375
133	6/11/2018 21:00	46.548	1.607				14-Oct	0.294041667
134	6/11/2018 22:00	46.369	1.573				15-Oct	-0.086333333
135	6/11/2018 23:00	45.828	1.594				16-Oct	-0.082166667
136	6/12/2018 0:00	45.466	1.605				17-Oct	-0.086958333
